R,b,Fij
5.201005025125628,13.115577889447236,0.20686562942147652
5.201005025125628,13.341708542713569,0.2075690012084339
5.201005025125628,13.5678391959799,0.20824983259560437
5.201005025125628,13.793969849246231,0.20890852842851446
5.201005025125628,14.020100502512562,0.20954548963261194
5.201005025125628,14.246231155778895,0.21016111245604246
5.201005025125628,14.472361809045227,0.21075578777402165
5.201005025125628,14.698492462311558,0.2113299004512262
5.201005025125628,14.92462311557789,0.2118838287597958
5.201005025125628,15.150753768844222,0.2124179438493114
5.201005025125628,15.376884422110553,0.2129326092661485
5.201005025125628,15.603015075376884,0.2134281805190027
5.201005025125628,15.829145728643217,0.21390500468768966
5.201005025125628,16.055276381909547,0.21436342007230103
5.201005025125628,16.28140703517588,0.21480375588009798
5.201005025125628,16.507537688442213,0.21522633194718965
5.201005025125628,16.733668341708544,0.21563145849257873
5.201005025125628,16.959798994974875,0.21601943590201744
5.201005025125628,17.185929648241206,0.21639055453903167
5.201005025125628,17.412060301507537,0.21674509458132404
5.201005025125628,17.63819095477387,0.21708332587973025
5.201005025125628,17.8643216080402,0.2174055078381184
5.201005025125628,18.090452261306535,0.21771188931197005
5.201005025125628,18.316582914572866,0.2180027085240497
5.201005025125628,18.542713567839197,0.21827819299500043
5.201005025125628,18.768844221105528,0.21853855948753909
5.201005025125628,18.99497487437186,0.2187840139625886
5.201005025125628,19.22110552763819,0.2190147515457165
5.201005025125628,19.44723618090452,0.21923095650295024
5.201005025125628,19.673366834170857,0.21943280222407044
5.201005025125628,19.899497487437188,0.2196204512128913
5.201005025125628,20.12562814070352,0.21979405508278044
5.201005025125628,20.35175879396985,0.21995375455700733
5.201005025125628,20.57788944723618,0.22009967947252904
5.201005025125628,20.804020100502512,0.22023194878666502
5.201005025125628,21.030150753768844,0.2203506705857757
5.201005025125628,21.256281407035175,0.2204559420952219
5.201005025125628,21.48241206030151,0.2205478496901117
5.201005025125628,21.70854271356784,0.22062646890619708
5.201005025125628,21.934673366834172,0.22069186445033737
5.201005025125628,22.160804020100503,0.22074409021036065
5.201005025125628,22.386934673366834,0.2207831892637493
5.201005025125628,22.613065326633166,0.22080919388500467
5.201005025125628,22.839195979899497,0.2208221255511716
5.201005025125628,23.06532663316583,0.2208219949459279
5.201005025125628,23.291457286432163,0.22080880196130107
5.201005025125628,23.517587939698494,0.22078253569784773
5.201005025125628,23.743718592964825,0.22074317446259134
5.201005025125628,23.969849246231156,0.2206906857650325
5.201005025125628,24.195979899497488,0.2206250263116119
5.201005025125628,24.42211055276382,0.22054614199815697
5.201005025125628,24.64824120603015,0.22045396790130853
5.201005025125628,24.874371859296485,0.22034842826867523
5.201005025125628,25.100502512562816,0.2202294365082471
5.201005025125628,25.326633165829147,0.22009689517753936
5.201005025125628,25.55276381909548,0.21995069597286337
5.201005025125628,25.77889447236181,0.21979071971939262
5.201005025125628,26.00502512562814,0.21961683636249785
5.201005025125628,26.231155778894472,0.21942890496111356
5.201005025125628,26.457286432160807,0.21922677368410248
