h,k,d,F
-7.142857142857139,-50.0,40,1.039834334023873e-06
-7.142857142857139,-50.0,45,1.0096011481121607e-06
-7.142857142857139,-50.0,50,9.717252494171685e-07
-7.142857142857139,-50.0,55,9.29518355307879e-07
-7.142857142857139,-50.0,60,8.852442027359276e-07
-7.142857142857139,-50.0,65,8.404462846108886e-07
-7.142857142857139,-50.0,70,7.961663498101023e-07
-7.142857142857139,-50.0,75,7.530934964812401e-07
-7.142857142857139,-50.0,80,7.116677593887345e-07
-5.102040816326529,-50.0,10,5.374342169103093e-07
-5.102040816326529,-50.0,15,7.921720168122497e-07
-5.102040816326529,-50.0,20,9.452023762553996e-07
-5.102040816326529,-50.0,25,1.0258697302283418e-06
-5.102040816326529,-50.0,30,1.0590393212305342e-06
-5.102040816326529,-50.0,35,1.0613692835943789e-06
-5.102040816326529,-50.0,40,1.0437789455208575e-06
-5.102040816326529,-50.0,45,1.013528970641735e-06
-5.102040816326529,-50.0,50,9.75525158453286e-07
-5.102040816326529,-50.0,55,9.331165410410042e-07
-5.102040816326529,-50.0,60,8.885974953063164e-07
-5.102040816326529,-50.0,65,8.435346523775555e-07
-5.102040816326529,-50.0,70,7.989861063568099e-07
-5.102040816326529,-50.0,75,7.556517931987943e-07
-5.102040816326529,-50.0,80,7.139784224544082e-07
-3.0612244897959187,-50.0,10,5.37918064625651e-07
-3.0612244897959187,-50.0,15,7.93146552833609e-07
-3.0612244897959187,-50.0,20,9.466979162037587e-07
-3.0612244897959187,-50.0,25,1.0278272940511322e-06
-3.0612244897959187,-50.0,30,1.0613458790068493e-06
-3.0612244897959187,-50.0,35,1.0638936440948903e-06
-3.0612244897959187,-50.0,40,1.046397858861989e-06
-3.0612244897959187,-50.0,45,1.0161411434624126e-06
-3.0612244897959187,-50.0,50,9.78055620574147e-07
-3.0612244897959187,-50.0,55,9.355151132965679e-07
-3.0612244897959187,-50.0,60,8.908345319068497e-07
-3.0612244897959187,-50.0,65,8.455961126962317e-07
-3.0612244897959187,-50.0,70,8.008690306911647e-07
-3.0612244897959187,-50.0,75,7.573606046110436e-07
-3.0612244897959187,-50.0,80,7.155221160408401e-07
-1.0204081632653015,-50.0,10,5.381571216621622e-07
-1.0204081632653015,-50.0,15,7.936287558954497e-07
-1.0204081632653015,-50.0,20,9.474391951408708e-07
-1.0204081632653015,-50.0,25,1.0287993124364153e-06
-1.0204081632653015,-50.0,30,1.0624931176687674e-06
-1.0204081632653015,-50.0,35,1.0651510834647116e-06
-1.0204081632653015,-50.0,40,1.0477040332776162e-06
-1.0204081632653015,-50.0,45,1.0174452820043077e-06
-1.0204081632653015,-50.0,50,9.793199776706898e-07
-1.0204081632653015,-50.0,55,9.367143097220036e-07
-1.0204081632653015,-50.0,60,8.919534849939368e-07
-1.0204081632653015,-50.0,65,8.466275952676645e-07
-1.0204081632653015,-50.0,70,8.018114109900949e-07
-1.0204081632653015,-50.0,75,7.582159896195425e-07
-1.0204081632653015,-50.0,80,7.162949356347822e-07
1.0204081632653086,-50.0,10,5.381571216621302e-07
1.0204081632653086,-50.0,15,7.936287558954198e-07
1.0204081632653086,-50.0,20,9.474391951407925e-07
1.0204081632653086,-50.0,25,1.0287993124364556e-06
1.0204081632653086,-50.0,30,1.0624931176687945e-06
1.0204081632653086,-50.0,35,1.065151083464722e-06
1.0204081632653086,-50.0,40,1.0477040332776393e-06
1.0204081632653086,-50.0,45,1.0174452820042448e-06
1.0204081632653086,-50.0,50,9.793199776707654e-07
1.0204081632653086,-50.0,55,9.367143097220036e-07
1.0204081632653086,-50.0,60,8.919534849939464e-07
1.0204081632653086,-50.0,65,8.466275952675773e-07
1.0204081632653086,-50.0,70,8.01811410990131e-07
1.0204081632653086,-50.0,75,7.582159896195923e-07
1.0204081632653086,-50.0,80,7.162949356346878e-07
3.0612244897959187,-50.0,10,5.379180646255971e-07
3.0612244897959187,-50.0,15,7.931465528336837e-07
3.0612244897959187,-50.0,20,9.466979162037801e-07
3.0612244897959187,-50.0,25,1.0278272940510988e-06
3.0612244897959187,-50.0,30,1.0613458790068264e-06
3.0612244897959187,-50.0,35,1.0638936440949267e-06
3.0612244897959187,-50.0,40,1.0463978588620389e-06
3.0612244897959187,-50.0,45,1.0161411434623906e-06
3.0612244897959187,-50.0,50,9.780556205741204e-07
3.0612244897959187,-50.0,55,9.355151132966083e-07
3.0612244897959187,-50.0,60,8.908345319067879e-07
3.0612244897959187,-50.0,65,8.455961126962199e-07
3.0612244897959187,-50.0,70,8.008690306911329e-07
3.0612244897959187,-50.0,75,7.57360604610957e-07
3.0612244897959187,-50.0,80,7.155221160408541e-07
5.102040816326529,-50.0,10,5.374342169104094e-07
5.102040816326529,-50.0,15,7.92172016812277e-07
5.102040816326529,-50.0,20,9.452023762553414e-07
5.102040816326529,-50.0,25,1.0258697302283773e-06
5.102040816326529,-50.0,30,1.059039321230511e-06
5.102040816326529,-50.0,35,1.0613692835944106e-06
5.102040816326529,-50.0,40,1.0437789455207605e-06
5.102040816326529,-50.0,45,1.013528970641741e-06
5.102040816326529,-50.0,50,9.75525158453296e-07
5.102040816326529,-50.0,55,9.331165410409518e-07
5.102040816326529,-50.0,60,8.885974953064279e-07
5.102040816326529,-50.0,65,8.435346523775942e-07
5.102040816326529,-50.0,70,7.989861063568064e-07
5.102040816326529,-50.0,75,7.556517931987351e-07
5.102040816326529,-50.0,80,7.139784224544214e-07
7.142857142857146,-50.0,10,5.366938545955996e-07
7.142857142857146,-50.0,15,7.906845288435043e-07
